nid,Is,Os,S,V,D
0,115.57413145910911,27.491891373369704,143.0660228324788,0.785367375377798,"[1, 1, 0, 0, 0, 0, 0]"
1,103.0498675088604,5.040554168217613,108.09042167707801,0.0783887786141203,"[0, 1, 1, 0, 0, 0, 0]"
2,51.96578910580506,50.50636710495506,102.47215621076012,0.9278215485776272,"[0, 0, 1, 1, 0, 0, 0]"
3,78.94978026574455,30.442902080186474,109.39268234593102,0.7260786180709206,"[0, 0, 0, 1, 1, 0, 0]"
4,54.20445163705046,28.868002985863686,83.07245462291415,0.8497548577113281,"[0, 0, 0, 0, 1, 1, 0]"
5,18.911592543401177,4.360309179645873,23.27190172304705,0.22569454643501408,"[0, 0, 0, 0, 0, 1, 1]"
6,7.48993285491496,6.704303639744306,14.194236494659265,0.887495198426755,"[1, 0, 0, 0, 0, 0, 1]"
7,16.250256480977676,4.013277155287156,20.26353363626483,0.9098753019849253,"[1, 1, 0, 0, 0, 0, 0]"
8,12.77796729712328,21.337233922485492,34.11520121960877,0.35541276319190873,"[0, 1, 1, 0, 0, 0, 0]"
9,34.871793997486925,7.699455503373752,42.571249500860674,0.7688137324584373,"[0, 0, 1, 1, 0, 0, 0]"
10,43.99670999337007,19.50752925120681,63.50423924457688,0.3965080234735352,"[0, 0, 0, 1, 1, 0, 0]"
11,31.18241374582383,8.529434738520731,39.71184848434456,0.47534440424140356,"[0, 0, 0, 0, 1, 1, 0]"
12,5.055538484730352,4.306443858342701,9.361982343073052,0.5107397639045009,"[0, 0, 0, 0, 0, 1, 1]"
13,8.367424219882013,2.055538484730352,10.422962704612365,0.13884621182588008,"[1, 0, 0, 0, 0, 0, 1]"
14,14.483208018364154,3.194620229779772,17.677828248143925,0.05251028035649219,"[1, 1, 0, 0, 0, 0, 0]"
15,13.506855271395459,4.675604398730903,18.182459670126363,0.6066130030117454,"[0, 1, 1, 0, 0, 0, 0]"
16,16.725823942208365,5.4892716928270735,22.21509563503544,0.18204057416684216,"[0, 0, 1, 1, 0, 0, 0]"
17,3.109224344500105,2.277069374107778,5.386293718607883,0.41693412918481887,"[0, 0, 0, 1, 1, 0, 0]"
18,9.437272937758268,3.105994321192347,12.543267258950614,0.1202400018209937,"[0, 0, 0, 0, 1, 1, 0]"
19,12.746695059034122,3.786295343470454,16.532990402504577,0.6677775261275841,"[0, 0, 0, 0, 0, 1, 1]"
20,20.45509359422809,3.7691607291738256,24.224254323401915,0.9247880251675195,"[1, 0, 0, 0, 0, 0, 1]"
21,18.529676397728295,3.9886890197619373,22.518365417490234,0.8198189741102472,"[1, 1, 0, 0, 0, 0, 0]"
22,3,5,8,0.7306933691758724,"[0, 1, 1, 0, 0, 0, 0]"
23,22.283967994015946,5.784033751902765,28.06800174591871,0.08849418214235572,"[0, 0, 1, 1, 0, 0, 0]"
24,5.079598034011989,5.086360481429862,10.16595851544185,0.7291260250679178,"[0, 0, 0, 1, 1, 0, 0]"
25,18.852615570250002,4.5875920531701295,23.440207623420132,0.2563339262844607,"[0, 0, 0, 0, 1, 1, 0]"
26,5.479386094995352,3.5148988786772257,8.994284973672578,0.7748320918280952,"[0, 0, 0, 0, 0, 1, 1]"
27,2,2,4,0.9169659485661273,"[1, 0, 0, 0, 0, 0, 1]"
28,5.15420904935508,2.351515737825774,7.505724787180854,0.7030314756515479,"[1, 1, 0, 0, 0, 0, 0]"
29,13.43778709019631,4.606124219394811,18.04391130959112,0.25701508225846703,"[0, 1, 1, 0, 0, 0, 0]"
30,6.988495123676971,5.381725646388616,12.370220770065586,0.823049222433509,"[0, 0, 1, 1, 0, 0, 0]"
31,8.437182246206785,4.671151918396453,13.108334164603239,0.29374773381650676,"[0, 0, 0, 1, 1, 0, 0]"
32,4,2,6,0.046118557086258005,"[0, 0, 0, 0, 1, 1, 0]"
33,2,2,4,0.13192321003748075,"[0, 0, 0, 0, 0, 1, 1]"
34,11.10937138431737,2,13.10937138431737,0.33966399541117964,"[1, 0, 0, 0, 0, 0, 1]"
35,5.037620866023764,3,8.037620866023765,0.2362063574378528,"[1, 1, 0, 0, 0, 0, 0]"
36,6.286024904251194,2.8778061785020634,9.163831082753259,0.6705609061388695,"[0, 1, 1, 0, 0, 0, 0]"
37,6.877806178502063,3.2860249042511946,10.163831082753259,0.9404408323656239,"[0, 0, 1, 1, 0, 0, 0]"
38,5.307903421966597,2.479767352173365,7.787670774139962,0.7996122536222745,"[0, 0, 0, 1, 1, 0, 0]"
39,5.852229998605845,2.5952799491354215,8.447509947741267,0.43106479075323645,"[0, 0, 0, 0, 1, 1, 0]"
40,5.287376527168824,2.3724626464324796,7.659839173601304,0.619492901406097,"[0, 0, 0, 0, 0, 1, 1]"
41,14.270018024389007,2.8927190993748035,17.16273712376381,0.62931227008079,"[1, 0, 0, 0, 0, 0, 1]"
42,22.23633997676597,2.171448150524503,24.407788127290473,0.04362279012576975,"[1, 1, 0, 0, 0, 0, 0]"
43,10.210031269108299,4.8788159333931755,15.088847202501475,0.2337726419892724,"[0, 1, 1, 0, 0, 0, 0]"
44,10.054610388492144,5.847676713642303,15.902287102134448,0.2560590461690335,"[0, 0, 1, 1, 0, 0, 0]"
45,2,2,4,0.6026153917131908,"[0, 0, 0, 1, 1, 0, 0]"
46,8.241568032920581,2.6496524968791677,10.89122052979975,0.5190286515559307,"[0, 0, 0, 0, 1, 1, 0]"
47,6.755158328214183,3.7980557433221596,10.553214071536342,0.9274795173359636,"[0, 0, 0, 0, 0, 1, 1]"
48,7.610498370423936,2.105505831335015,9.71600420175895,0.1758430522250246,"[1, 0, 0, 0, 0, 0, 1]"
49,7.4397226886314325,4.927175163579877,12.36689785221131,0.5269879102318967,"[1, 1, 0, 0, 0, 0, 0]"
50,17.910400350597783,4.774776304288249,22.685176654886032,0.47141947220600133,"[0, 1, 1, 0, 0, 0, 0]"
51,4.351653351844023,5.107979948593416,9.459633300437439,0.8496841749371087,"[0, 0, 1, 1, 0, 0, 0]"
52,19.63535567096899,5.6446978117140425,25.280053482683034,0.8791333796100573,"[0, 0, 0, 1, 1, 0, 0]"
53,7.345263034090717,5.1744532878627,12.519716321953418,0.06201456418670681,"[0, 0, 0, 0, 1, 1, 0]"
54,8.0428730373321,2,10.0428730373321,0.10873562072288423,"[0, 0, 0, 0, 0, 1, 1]"
