nid,Is,Os,S,V,D
0,70.81359299127351,7.556760056769247,78.37035304804276,0.44313070231220153,"[1, 1, 0, 0, 0, 0, 0]"
1,43.82116969799709,8.139097152661856,51.96026685065895,0.14917206807344818,"[0, 1, 1, 0, 0, 0, 0]"
2,21.876381967425047,16.741565246180635,38.61794721360568,0.5851506275593008,"[0, 0, 1, 1, 0, 0, 0]"
3,21.299086796355923,10.851609214595651,32.15069601095158,0.2886945264218487,"[0, 0, 0, 1, 1, 0, 0]"
4,11.56662705425557,11.206439796657751,22.77306685091332,0.9727796421894531,"[0, 0, 0, 0, 1, 1, 0]"
5,12.441971861867483,7.113286322109921,19.555258183977404,0.3082026550136723,"[0, 0, 0, 0, 0, 1, 1]"
6,5.962530458331418,6.969336927042195,12.931867385373614,0.5974966453611873,"[0, 0, 0, 0, 0, 0, 1]"
7,7.219269289094278,3.6880090263814163,10.907278315475693,0.5384633636843121,"[1, 1, 0, 0, 0, 0, 0]"
8,5.819342216724494,6.7847280692754275,12.60407028599992,0.6145242931823622,"[0, 1, 1, 0, 0, 0, 0]"
9,8.165755760793683,4.090607270668842,12.256363031462525,0.8534200735836792,"[0, 0, 1, 1, 0, 0, 0]"
10,13.906396888608892,4.81083591774207,18.717232806350964,0.2956458094289428,"[0, 0, 0, 1, 1, 0, 0]"
11,9.606322915375992,4.173871617800165,13.780194533176157,0.4239742356360974,"[0, 0, 0, 0, 1, 1, 0]"
12,5.53873978313562,4.176514689152176,9.715254472287796,0.8698700186384153,"[0, 0, 0, 0, 0, 1, 1]"
13,3,2,5,0.1363545291846776,"[0, 0, 0, 0, 0, 0, 1]"
14,11.200037827990835,3.2589868485129845,14.45902467650382,0.9136071256670357,"[1, 1, 0, 0, 0, 0, 0]"
15,13.423450688315665,2.288320406810959,15.711771095126624,0.14977224041345283,"[0, 1, 1, 0, 0, 0, 0]"
16,4.419146604825271,3.0343703960240713,7.4535170008493425,0.024617904863243445,"[0, 0, 1, 1, 0, 0, 0]"
17,9.079396509836435,2.82716006501287,11.906556574849304,0.8271600650128699,"[0, 0, 0, 1, 1, 0, 0]"
18,11.82692384085842,2.094362361291873,13.921286202150293,0.09436236129187303,"[0, 0, 0, 0, 1, 1, 0]"
19,2.0314541204306242,5.330627801850699,7.362081922281323,0.4547213390719549,"[0, 0, 0, 0, 0, 1, 1]"
20,6.352181765867623,3.093207534965471,9.445389300833094,0.1553458916091185,"[0, 0, 0, 0, 0, 0, 1]"
21,4.139355666098356,2.578663099134478,6.718018765232834,0.56258912415852,"[1, 1, 0, 0, 0, 0, 0]"
22,3.241109624639366,4.053790939654936,7.294900564294302,0.04737545815367428,"[0, 1, 1, 0, 0, 0, 0]"
23,4.512470944174006,2.3716794793321876,6.884150423506194,0.6194657988869797,"[0, 0, 1, 1, 0, 0, 0]"
24,4.371679479332188,2.512470944174006,6.884150423506194,0.8541182402900104,"[0, 0, 0, 1, 1, 0, 0]"
25,2,2,4,0.058017747187958046,"[0, 0, 0, 0, 1, 1, 0]"
26,3,3,6,0.9028304165206097,"[0, 0, 0, 0, 0, 1, 1]"
27,6.195497650425063,2.11597436533717,8.311472015762233,0.17396154800575503,"[0, 0, 0, 0, 0, 0, 1]"
28,7.11597436533717,2.1954976504250623,9.311472015762233,0.29324647563759343,"[1, 1, 0, 0, 0, 0, 0]"
29,2,2,4,0.41895506848522,"[0, 1, 1, 0, 0, 0, 0]"
30,5,3,8,0.5321640573827645,"[0, 0, 1, 1, 0, 0, 0]"
31,8.39362776930613,3.1336779888725,11.527305758178631,0.5108852427726086,"[0, 0, 0, 1, 1, 0, 0]"
32,15.623436600777666,2.5237280346817332,18.147164635459397,0.19515039806340484,"[0, 0, 0, 0, 1, 1, 0]"
33,6.130100265375603,2.366810176341219,8.496910441716821,0.6016696739923776,"[0, 0, 0, 0, 0, 1, 1]"
34,2,2,4,0.6969556809456651,"[0, 0, 0, 0, 0, 0, 1]"
35,3.159858474091069,4.163547325531717,7.323405799622785,0.228966255744404,"[1, 1, 0, 0, 0, 0, 0]"
36,9.302046931148112,3.159858474091069,12.46190540523918,0.3197169481821376,"[0, 1, 1, 0, 0, 0, 0]"
37,13.395669765512249,2.105200698147862,15.50087046366011,0.1346483661700596,"[0, 0, 1, 1, 0, 0, 0]"
38,9.3473806951089,2.524426396966687,11.871807092075587,0.26049219405152935,"[0, 0, 0, 1, 1, 0, 0]"
39,4.422342235987907,3.716302710098107,8.138644946086014,0.9018737998334988,"[0, 0, 0, 0, 1, 1, 0]"
